"Alexander Zverev","Daniil Medvedev",RH,RH,0,1,0,1,0,0,2021-11-21,Tour_Finals,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve down the T"
"Daniil Medvedev","Alexander Zverev",RH,RH,1,0,1,0,0,0,2021-11-21,Tour_Finals,3,2,1,10,3,99,2,99,2,3,99,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand return inside-out,  forced error"
"Alexander Zverev","Daniil Medvedev",RH,RH,1,1,0,1,0,0,2021-11-21,Tour_Finals,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve down the T"
"Daniil Medvedev","Alexander Zverev",RH,RH,1,1,1,0,0,0,2021-11-21,Tour_Finals,3,2,24,10,1,99,2,99,2,3,99,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand slice return inside-out,  forced error"
"Alexander Zverev","Daniil Medvedev",RH,RH,2,1,0,1,0,0,2021-11-21,Tour_Finals,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve wide"
"Daniil Medvedev","Alexander Zverev",RH,RH,1,2,1,0,0,0,2021-11-21,Tour_Finals,3,3,24,8,1,99,2,99,2,3,99,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand slice return down the line,  forced error"
"Alexander Zverev","Daniil Medvedev",RH,RH,3,1,0,1,0,0,2021-11-21,Tour_Finals,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve wide"
"Daniil Medvedev","Alexander Zverev",RH,RH,1,3,1,0,0,0,2021-11-21,Tour_Finals,3,1,1,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand return down the middle (very deep)"
"Alexander Zverev","Daniil Medvedev",RH,RH,3,1,0,1,0,0,2021-11-21,Tour_Finals,4,2,22,2,2,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand down the middle"
"Daniil Medvedev","Alexander Zverev",RH,RH,1,3,1,0,0,0,2021-11-21,Tour_Finals,4,2,1,10,3,99,2,99,2,4,3,4,2,22,2,2,99,2,99,2,7,7,3,1,1,2,2,3,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand inside-out (long),  unforced error"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,0,1,1,0,0,2021-11-21,Tour_Finals,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve wide"
"Alexander Zverev","Daniil Medvedev",RH,RH,0,0,1,1,0,0,2021-11-21,Tour_Finals,3,1,1,7,1,2,1,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand return crosscourt (deep) (net cord)"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,0,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,2,2,99,2,99,2,7,7,3,1,1,7,1,2,1,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand down the middle"
"Alexander Zverev","Daniil Medvedev",RH,RH,0,0,1,1,0,0,2021-11-21,Tour_Finals,4,2,22,10,1,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,3,1,1,7,1,2,1,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand inside-out"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,0,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,7,1,99,2,99,2,7,7,4,2,22,10,1,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt"
"Alexander Zverev","Daniil Medvedev",RH,RH,0,0,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,4,2,22,10,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,0,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,7,1,99,2,99,2,4,3,4,1,1,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt (long),  unforced error"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,1,1,1,0,0,2021-11-21,Tour_Finals,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html,"1st serve wide,  fault (net)"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,1,1,1,0,0,2021-11-21,Tour_Finals,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," 2nd serve wide"
"Alexander Zverev","Daniil Medvedev",RH,RH,1,0,1,1,0,0,2021-11-21,Tour_Finals,3,3,22,7,3,1,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,1,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand return crosscourt (shallow)"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,1,1,1,0,0,2021-11-21,Tour_Finals,4,3,22,7,3,99,2,99,2,7,7,3,3,22,7,3,1,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand crosscourt"
"Alexander Zverev","Daniil Medvedev",RH,RH,1,0,1,1,0,0,2021-11-21,Tour_Finals,4,3,22,8,1,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,3,3,22,7,3,1,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," backhand down the line"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,1,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,7,1,99,2,99,2,7,7,4,3,22,8,1,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt"
"Alexander Zverev","Daniil Medvedev",RH,RH,1,0,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,4,3,22,8,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,1,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,2,2,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand down the middle"
"Alexander Zverev","Daniil Medvedev",RH,RH,1,0,1,1,0,0,2021-11-21,Tour_Finals,4,2,1,7,1,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt"
"Daniil Medvedev","Alexander Zverev",RH,RH,0,1,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,7,1,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt"
"Alexander Zverev","Daniil Medvedev",RH,RH,1,0,1,1,0,0,2021-11-21,Tour_Finals,4,1,1,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,D:\FYP\modified_jk\charting\20211121-M-Tour_Finals-F-Daniil_Medvedev-Alexander_Zverev.html," forehand crosscourt"
